Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,actual_evapotranspiration contribution,bio10_mean_temp_warm contribution,bio11_mean_temp_cold contribution,bio12_total_precip contribution,bio13_precip_wettest_month contribution,bio14_precip_driest_month contribution,bio15_precip_seasonality contribution,bio16_precip_wettest_q contribution,bio17_precip_driest_q contribution,bio18_precip_warmest contribution,bio19_precip_coldest contribution,bio1_mean_temp contribution,bio2_mean_temp_range contribution,bio3_isothermality contribution,bio4_temp_seasonality contribution,bio5_max_temp contribution,bio6_min_temp contribution,bio7_temp_range contribution,clay contribution,elevation contribution,net_primary_productivity contribution,pH contribution,sand contribution,silt contribution,slope contribution,snowcover_depth contribution,soil_moisture contribution,solar_radiation contribution,vapor_pressure contribution,actual_evapotranspiration permutation importance,bio10_mean_temp_warm permutation importance,bio11_mean_temp_cold permutation importance,bio12_total_precip permutation importance,bio13_precip_wettest_month permutation importance,bio14_precip_driest_month permutation importance,bio15_precip_seasonality permutation importance,bio16_precip_wettest_q permutation importance,bio17_precip_driest_q permutation importance,bio18_precip_warmest permutation importance,bio19_precip_coldest permutation importance,bio1_mean_temp permutation importance,bio2_mean_temp_range permutation importance,bio3_isothermality permutation importance,bio4_temp_seasonality permutation importance,bio5_max_temp permutation importance,bio6_min_temp permutation importance,bio7_temp_range permutation importance,clay permutation importance,elevation permutation importance,net_primary_productivity permutation importance,pH permutation importance,sand permutation importance,silt permutation importance,slope permutation importance,snowcover_depth permutation importance,soil_moisture permutation importance,solar_radiation permutation importance,vapor_pressure permutation importance,Training gain without actual_evapotranspiration,Training gain without bio10_mean_temp_warm,Training gain without bio11_mean_temp_cold,Training gain without bio12_total_precip,Training gain without bio13_precip_wettest_month,Training gain without bio14_precip_driest_month,Training gain without bio15_precip_seasonality,Training gain without bio16_precip_wettest_q,Training gain without bio17_precip_driest_q,Training gain without bio18_precip_warmest,Training gain without bio19_precip_coldest,Training gain without bio1_mean_temp,Training gain without bio2_mean_temp_range,Training gain without bio3_isothermality,Training gain without bio4_temp_seasonality,Training gain without bio5_max_temp,Training gain without bio6_min_temp,Training gain without bio7_temp_range,Training gain without clay,Training gain without elevation,Training gain without net_primary_productivity,Training gain without pH,Training gain without sand,Training gain without silt,Training gain without slope,Training gain without snowcover_depth,Training gain without soil_moisture,Training gain without solar_radiation,Training gain without vapor_pressure,Training gain with only actual_evapotranspiration,Training gain with only bio10_mean_temp_warm,Training gain with only bio11_mean_temp_cold,Training gain with only bio12_total_precip,Training gain with only bio13_precip_wettest_month,Training gain with only bio14_precip_driest_month,Training gain with only bio15_precip_seasonality,Training gain with only bio16_precip_wettest_q,Training gain with only bio17_precip_driest_q,Training gain with only bio18_precip_warmest,Training gain with only bio19_precip_coldest,Training gain with only bio1_mean_temp,Training gain with only bio2_mean_temp_range,Training gain with only bio3_isothermality,Training gain with only bio4_temp_seasonality,Training gain with only bio5_max_temp,Training gain with only bio6_min_temp,Training gain with only bio7_temp_range,Training gain with only clay,Training gain with only elevation,Training gain with only net_primary_productivity,Training gain with only pH,Training gain with only sand,Training gain with only silt,Training gain with only slope,Training gain with only snowcover_depth,Training gain with only soil_moisture,Training gain with only solar_radiation,Training gain with only vapor_pressure,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Paruroctonus_boreus,135,1.4235,1.6257,500,0.9205,10132,7.2407,0.0867,1.2031,0.2738,0.0205,30.2593,15.6700,0.0852,0.3286,1.4199,1.0893,0.1640,0.6212,0.5125,6.1219,1.4469,8.6924,0.1616,1.1923,8.1428,0.4845,0.2495,2.2105,0.2692,0.9155,4.9802,3.9693,2.1553,0.0335,8.6787,0.0000,32.1545,4.1477,1.2562,3.3775,17.4306,0.1480,0.3460,1.7512,0.7513,0.6117,0.0264,0.2886,1.6260,4.6908,7.2319,0.0010,0.6798,3.2588,2.8836,1.4151,0.5857,0.5517,0.2392,1.3645,3.5002,0.1657,0.8379,1.4056,1.4191,1.3834,1.4202,1.4135,1.4226,1.3763,1.4228,1.4150,1.4100,1.4145,1.4161,1.4155,1.4163,1.4103,1.4069,1.4101,1.4251,1.4136,1.4005,1.3989,1.4118,1.4138,1.4165,1.4141,1.4102,1.4165,1.4137,1.4278,0.2727,0.4122,0.6212,0.1785,0.1928,0.5187,0.3657,0.2035,0.4095,0.2281,0.1781,0.5405,0.0639,0.1489,0.3992,0.3173,0.5911,0.1282,0.1497,0.5205,0.2270,0.1282,0.1245,0.0614,0.0214,0.3376,0.3005,0.0898,0.4678,7.8475,0.1473,1.0000,0.0467,0.4995,0.0000,5.0000,0.1161,0.3805,0.0148,10.0000,0.1695,0.2976,0.0593,3.3512,0.0947,0.4180,0.0000,16.9043,0.2371,0.2198,0.0963,23.2318,0.3039,0.1691,0.1704,14.9179,0.2165,0.2393,0.0741,3.3512,0.0947,0.4180,0.0000,13.6893,0.2044,0.2526,0.0741
Paruroctonus_silvestrii,239,1.9601,2.0962,500,0.9554,10238,0.1008,1.1130,11.9887,0.0451,0.1198,1.1594,9.4477,33.0157,0.1983,0.5089,0.0000,0.2059,2.8118,0.8255,1.0719,0.0993,0.6489,2.2203,0.0435,0.3298,0.8788,0.8843,2.1638,0.8275,3.5458,7.6238,15.6509,1.6272,0.8438,3.5548,1.6689,0.1470,0.9107,0.7883,0.6412,29.5301,1.4911,0.1125,3.5529,0.0000,2.5923,0.5182,0.8844,4.9428,0.5380,2.5906,0.5024,0.2899,0.4675,1.9724,4.6859,1.3386,0.7512,1.6289,1.3750,29.9371,2.2908,0.2966,1.9600,1.9630,1.9628,1.9604,1.9660,1.9651,1.9512,1.9640,1.9615,1.9555,1.9632,1.9590,1.9634,1.9573,1.9624,1.9613,1.9612,1.9666,1.9618,1.9617,1.9598,1.9523,1.9646,1.9567,1.9452,1.9613,1.9368,1.9599,1.9622,0.7947,0.3142,0.7378,0.6934,1.0629,0.6355,1.2174,1.0619,0.4915,0.5482,1.0435,0.5444,0.4699,0.8519,1.1347,0.1803,0.8393,1.1459,0.0486,0.3513,0.7115,0.9433,0.0150,0.0702,0.1670,0.4255,1.0429,0.3226,0.6610,7.2865,0.0826,1.0000,0.0202,0.2798,0.0000,5.0000,0.1020,0.1765,0.0167,10.0000,0.1999,0.1309,0.0544,1.4834,0.0324,0.2531,0.0000,12.2909,0.2427,0.1180,0.0962,13.8971,0.2672,0.1101,0.1088,8.5236,0.1718,0.1412,0.0377,1.4834,0.0324,0.2531,0.0000,8.3451,0.1680,0.1426,0.0377
Paruroctonus_tulare,12,4.7731,5.3686,340,0.9986,10012,2.1457,0.0000,0.5014,0.0000,0.0000,5.8625,0.0791,0.5024,0.7393,36.8894,0.0000,1.3236,0.0000,0.0000,0.3480,1.5368,2.6513,0.0000,1.2262,0.9633,6.8683,0.0143,7.8698,0.0000,7.5419,0.0000,4.1079,0.0000,18.8289,0.0000,0.0000,2.9394,0.0000,0.0000,19.9324,1.5041,0.0000,18.8017,7.6260,0.0000,7.0743,0.0000,0.0000,0.0000,0.5729,1.3037,0.0000,0.0000,0.1458,0.0000,0.0121,1.2551,0.0000,0.0000,0.0000,17.6569,0.0000,21.1754,4.7731,4.7731,4.7294,4.7731,4.7731,4.7357,4.7638,4.7731,4.7390,4.7419,4.7731,4.7273,4.7731,4.7731,4.7731,4.7621,4.7696,4.7731,4.7731,4.7727,4.7728,4.7724,4.6975,4.7731,4.7731,4.7731,4.7428,4.7731,4.5946,1.1258,0.5414,0.8340,0.5598,0.4556,2.7355,0.7508,0.4950,2.3366,3.0830,0.5491,1.0583,0.0469,0.0095,0.0448,0.5135,1.2065,0.0000,0.9948,1.7707,0.5264,0.2465,1.2359,0.3277,1.3666,0.5344,0.2421,0.2294,1.5598,4.4383,0.0047,1.0000,0.0093,0.0283,0.0000,5.0000,0.0519,0.0139,0.0000,10.0000,0.1198,0.0092,0.0000,28.9383,0.4422,0.0033,0.0000,31.2392,0.5037,0.0030,0.0833,28.9383,0.4422,0.0033,0.0000,28.9383,0.4422,0.0033,0.0000,0.4147,0.0033,0.0364,0.0000,11.2701,0.1298,0.0084,0.0000
