Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.61483E-4,17.272182839,0.317412162,0.096307873,0.138075314,0
2.66502E-4,17.510095293,0.3223974,0.095428795,0.138075314,0
2.6973E-4,17.751431203,0.325583687,0.094549717,0.142259414,0
2.74448E-4,18.02367902,0.330214741,0.093572963,0.142259414,0
2.79319E-4,18.272966268,0.334962534,0.092693886,0.142259414,0
2.83414E-4,18.527258089,0.338927302,0.091814808,0.146443515,0
2.86966E-4,18.755345045,0.342347272,0.091033405,0.146443515,0
2.91193E-4,19.015496343,0.346394558,0.090154327,0.146443515,0
2.96691E-4,19.250911576,0.351621937,0.089372924,0.146443515,0
3.00674E-4,19.520024959,0.355382301,0.088493846,0.150627615,0
3.03226E-4,19.761509414,0.357780541,0.087712444,0.154811715,0
3.07691E-4,20.006402163,0.361953924,0.086931041,0.163179916,0
3.10957E-4,20.254132206,0.36499038,0.086149639,0.167364017,0
3.14894E-4,20.505020335,0.368630729,0.085368236,0.167364017,0
3.18764E-4,20.758432131,0.37218936,0.084586833,0.167364017,0
3.25301E-4,21.01621401,0.378153706,0.083805431,0.167364017,0
3.29258E-4,21.278425667,0.381737027,0.083024028,0.167364017,0
3.31337E-4,21.509847898,0.38361157,0.082340301,0.167364017,0
3.35562E-4,21.776566332,0.387403152,0.081558898,0.171548117,0
3.38791E-4,22.012882621,0.390284988,0.080875171,0.175732218,0
3.45866E-4,22.253007218,0.396551884,0.080191444,0.179916318,0
3.50689E-4,22.531918429,0.400786989,0.079410041,0.184100418,0
3.52724E-4,22.778202135,0.402565839,0.078726314,0.192468619,0
3.54649E-4,23.026020699,0.404242461,0.078042586,0.20083682,0
3.63945E-4,23.278599183,0.412275993,0.077358859,0.20083682,0
3.66673E-4,23.534470095,0.41461281,0.076675132,0.20083682,0
3.71337E-4,23.756340309,0.418586025,0.07608908,0.205020921,0
3.76439E-4,24.017821502,0.422902459,0.075405353,0.205020921,0
3.80599E-4,24.283045872,0.426397744,0.074721625,0.205020921,0
3.84445E-4,24.51254055,0.429609814,0.074135573,0.205020921,0
3.87558E-4,24.783081382,0.432197714,0.073451846,0.205020921,0
3.89973E-4,25.016441993,0.434196409,0.072865794,0.205020921,0
3.91503E-4,25.250942054,0.43545929,0.072279742,0.205020921,0
4.02334E-4,25.52811194,0.444318348,0.071596015,0.205020921,0
4.04509E-4,25.770269964,0.446080451,0.071009963,0.205020921,0
4.09778E-4,26.014626176,0.450326557,0.070423911,0.209205021,0
4.12555E-4,26.261763282,0.452550974,0.069837859,0.209205021,0
4.16819E-4,26.510951339,0.455949254,0.069251807,0.213389121,0
4.23248E-4,26.763129638,0.461033768,0.068665755,0.213389121,0
4.2572E-4,27.017973602,0.462975856,0.068079703,0.213389121,0
4.28278E-4,27.274287379,0.46497831,0.067493651,0.213389121,0
4.37854E-4,27.534231683,0.472408341,0.066907599,0.221757322,0
4.42634E-4,27.754597921,0.47607831,0.066419223,0.221757322,0
4.49764E-4,28.022487506,0.481505271,0.065833171,0.225941423,0
4.5296E-4,28.293144923,0.483919996,0.065247119,0.238493724,0
4.58526E-4,28.521396648,0.488097354,0.064758742,0.238493724,0
4.64864E-4,28.752599691,0.492813918,0.064270365,0.242677824,0
4.70589E-4,29.033168329,0.497036731,0.063684313,0.242677824,0
4.75886E-4,29.270503675,0.50091254,0.063195937,0.246861925,0
4.81779E-4,29.5101921,0.505188938,0.06270756,0.251046025,0
4.88387E-4,29.753199348,0.509940974,0.062219183,0.251046025,0
4.9252E-4,30.047670124,0.51289044,0.061633131,0.251046025,0
4.97655E-4,30.295021584,0.516529333,0.061144755,0.255230126,0
4.99916E-4,30.544355681,0.518123023,0.060656378,0.255230126,0
5.03931E-4,30.795578215,0.520940437,0.060168002,0.255230126,0
5.05933E-4,31.048156301,0.522338872,0.059679625,0.259414226,0
5.13229E-4,31.252149022,0.527401315,0.059288924,0.259414226,0
5.20942E-4,31.511006728,0.532694612,0.058800547,0.259414226,0
5.25205E-4,31.772812483,0.53559489,0.05831217,0.263598326,0
5.27615E-4,32.036008671,0.537226682,0.057823794,0.267782427,0
5.36865E-4,32.250029439,0.543435964,0.057433092,0.276150628,0
5.40306E-4,32.519858842,0.545724499,0.056944716,0.276150628,0
5.46117E-4,32.791588233,0.549563228,0.056456339,0.280334728,0
5.52822E-4,33.011767486,0.55395196,0.056065638,0.280334728,0
5.5697E-4,33.289183168,0.556646057,0.055577261,0.284518828,0
5.64166E-4,33.514115278,0.561281059,0.05518656,0.284518828,0
5.71561E-4,33.798013203,0.565993379,0.054698183,0.284518828,0
5.72645E-4,34.02686452,0.56667989,0.054307482,0.288702929,0
5.82258E-4,34.257828185,0.572720776,0.053916781,0.292887029,0
5.94389E-4,34.551465503,0.580223521,0.053428404,0.292887029,0
5.98037E-4,34.790052742,0.582454111,0.053037703,0.30125523,0
6.08348E-4,35.031121158,0.588694057,0.052647001,0.30125523,0
6.12646E-4,35.275549333,0.591267948,0.0522563,0.305439331,0
6.17754E-4,35.522027496,0.594305368,0.051865599,0.305439331,0
6.22191E-4,35.770059691,0.59692553,0.051474897,0.305439331,0
6.3428E-4,36.022140348,0.603979128,0.051084196,0.305439331,0
6.38505E-4,36.277050337,0.606415474,0.050693495,0.305439331,0
6.42819E-4,36.533635927,0.608886832,0.050302794,0.305439331,0
6.50478E-4,36.792435778,0.613237368,0.049912092,0.309623431,0
6.52952E-4,37.053363589,0.614632082,0.049521391,0.313807531,0
6.56598E-4,37.315391833,0.616678396,0.04913069,0.313807531,0
6.57705E-4,37.512598219,0.617297601,0.048837664,0.313807531,0
6.61126E-4,37.776734076,0.619204751,0.048446962,0.313807531,0
6.69506E-4,38.042780181,0.62383684,0.048056261,0.313807531,0
6.7453E-4,38.31185663,0.626586417,0.04766556,0.317991632,0
6.83364E-4,38.515976392,0.631372858,0.047372534,0.317991632,0
6.86087E-4,38.789968769,0.63283585,0.046981832,0.326359833,0
6.893E-4,39.065204692,0.634554981,0.046591131,0.334728033,0
6.91034E-4,39.272506884,0.635479212,0.046298105,0.334728033,0
6.92483E-4,39.549373799,0.636249393,0.045907404,0.338912134,0
6.96173E-4,39.757854168,0.638204211,0.045614378,0.343096234,0
7.11969E-4,40.038640545,0.646455021,0.045223676,0.347280335,0
7.16237E-4,40.253184944,0.648651739,0.044930651,0.347280335,0
7.29726E-4,40.543251165,0.655505,0.044539949,0.347280335,0
7.33377E-4,40.762971644,0.65733693,0.044246923,0.351464435,0
7.35752E-4,41.05686377,0.658523297,0.043856222,0.351464435,0
7.40575E-4,41.278850213,0.660920282,0.043563196,0.359832636,0
7.44407E-4,41.501986379,0.662812454,0.04327017,0.372384937,0
7.46835E-4,41.800430089,0.664006156,0.042879469,0.372384937,0
7.48592E-4,42.024931396,0.664866697,0.042586443,0.372384937,0
7.55896E-4,42.251004832,0.668422444,0.042293417,0.372384937,0
7.58619E-4,42.554144696,0.669738644,0.041902715,0.376569038,0
7.61194E-4,42.782180411,0.670978244,0.041609689,0.376569038,0
7.62679E-4,43.010935866,0.671691117,0.041316663,0.376569038,0
7.67003E-4,43.316929601,0.673757475,0.040925962,0.380753138,0
7.71165E-4,43.547999899,0.675734709,0.040632936,0.384937238,0
7.76042E-4,43.780240245,0.678035616,0.04033991,0.384937238,0
7.85794E-4,44.014999117,0.682588484,0.040046884,0.393305439,0
7.90801E-4,44.252159171,0.684900981,0.039753858,0.39748954,0
7.96281E-4,44.569904133,0.687412599,0.039363157,0.39748954,0
8.0329E-4,44.810499285,0.690596127,0.039070131,0.405857741,0
8.08396E-4,45.052542362,0.69289471,0.038777105,0.405857741,0
