species,dd long,dd lat
Paruroctonus boreus,-119.2200411,39.59156328
Paruroctonus boreus,-118.9388117,38.38608
Paruroctonus boreus,-119.0099728,38.4586289
Paruroctonus boreus,-118.9349806,38.27450442
Paruroctonus boreus,-116.5474083,39.03169167
Paruroctonus boreus,-118.9502906,41.90230624
Paruroctonus boreus,-119.0011271,41.85377339
Paruroctonus boreus,-114.9001917,39.62348833
Paruroctonus boreus,-114.9527598,39.27860831
Paruroctonus boreus,-118.8035967,41.92255333
Paruroctonus boreus,-119.7148791,39.69488879
Paruroctonus silvestrii,-122.0196533,37.08585785
Paruroctonus silvestrii,-121.925325,37.878444
Paruroctonus silvestrii,-119.257102,34.288469
Paruroctonus silvestrii,-116.481385,32.935829
Paruroctonus silvestrii,-118.1033333,34.18933333
Paruroctonus silvestrii,-120.8695,35.30333333
Paruroctonus silvestrii,-121.782051,38.013213
Paruroctonus silvestrii,-117.2417984,32.67757797
Paruroctonus silvestrii,-118.365455,33.756166
Paruroctonus silvestrii,-118.758209,34.118781
Paruroctonus silvestrii,-118.57433,34.932947
Paruroctonus silvestrii,-118.31878,33.733139
Paruroctonus silvestrii,-116.919478,33.33464
Paruroctonus silvestrii,-116.5918417,33.64446667
Paruroctonus silvestrii,-116.523077,32.849928
Paruroctonus silvestrii,-117.209271,34.273072
Paruroctonus silvestrii,-121.881875,37.51313
Paruroctonus silvestrii,-119.792125,34.504655
Paruroctonus silvestrii,-116.80677,32.84436667
Paruroctonus silvestrii,-117.116803,32.543488
Paruroctonus silvestrii,-121.4463667,35.9719
Paruroctonus silvestrii,-117.171395,33.45598
Paruroctonus silvestrii,-122.344077,38.956464
Paruroctonus silvestrii,-116.872653,33.305382
Paruroctonus silvestrii,-117.816885,34.16350489
Paruroctonus silvestrii,-118.8799533,34.238455
Paruroctonus silvestrii,-117.1471279,33.12185996
Paruroctonus silvestrii,-118.8234783,34.12969717
Paruroctonus silvestrii,-118.381336,34.018258
Paruroctonus silvestrii,-117.8578723,34.41387303
Paruroctonus silvestrii,-118.291088,34.148226
Paruroctonus silvestrii,-116.68557,33.744808
Paruroctonus silvestrii,-118.5535731,34.30549901
Paruroctonus silvestrii,-117.7467957,34.26229095
Paruroctonus silvestrii,-118.672985,34.90106
Paruroctonus silvestrii,-119.7127819,34.46557121
Paruroctonus silvestrii,-121.32408,38.59573667
Paruroctonus silvestrii,-117.258585,32.92422167
Paruroctonus silvestrii,-121.462325,36.11705283
Paruroctonus silvestrii,-118.4441283,33.95096
Paruroctonus silvestrii,-118.225601,34.108006
Paruroctonus silvestrii,-122.1414685,37.05363104
Paruroctonus silvestrii,-120.7188726,35.61980956
Paruroctonus silvestrii,-118.2569278,35.92605278
Paruroctonus silvestrii,-122.40951,39.06118
Paruroctonus silvestrii,-117.2461341,33.1584402
Paruroctonus silvestrii,-122.0452683,37.81582167
Paruroctonus silvestrii,-117.6302778,34.24944444
Paruroctonus silvestrii,-117.336053,33.17454734
Paruroctonus silvestrii,-118.9067078,34.15569687
Paruroctonus silvestrii,-116.631502,32.841099
Paruroctonus silvestrii,-116.5738617,32.96300833
Paruroctonus silvestrii,-118.6710583,34.29648333
Paruroctonus silvestrii,-117.1503667,34.26870333
Paruroctonus silvestrii,-118.54705,34.13429717
Paruroctonus silvestrii,-117.0992194,33.22520556
Paruroctonus silvestrii,-118.3721187,33.84579947
Paruroctonus silvestrii,-117.0510712,32.83114243
Paruroctonus silvestrii,-118.435986,34.10783492
Paruroctonus silvestrii,-118.1448912,34.21714758
Paruroctonus silvestrii,-118.9963455,34.32547379
Paruroctonus silvestrii,-118.6799783,34.18437167
Paruroctonus silvestrii,-117.25032,32.86593833
Paruroctonus silvestrii,-116.540555,33.143333
Paruroctonus silvestrii,-117.8345118,34.29058238
Paruroctonus silvestrii,-116.8474007,32.88954413
Paruroctonus silvestrii,-119.989186,34.735419
Paruroctonus silvestrii,-118.6127567,34.28982833
Paruroctonus silvestrii,-117.5079733,34.232
Paruroctonus silvestrii,-121.6780536,37.56688605
Paruroctonus silvestrii,-118.7091667,34.06916667
Paruroctonus silvestrii,-117.7979249,33.78072455
Paruroctonus silvestrii,-116.9539025,32.97430777
Paruroctonus silvestrii,-121.494355,36.0783195
Paruroctonus silvestrii,-118.4828207,34.0857827
Paruroctonus silvestrii,-121.7284241,38.00344086
Paruroctonus silvestrii,-120.4704044,35.02789176
Paruroctonus silvestrii,-118.115875,34.28329167
